course_title,content_duration,price
Black Algo Trading: Build Your Trading Robot,16.0,200.0
The Complete Web Developer Course - Build 20 Websites,15.5,20.0
PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,15.5,50.0
All about NodeJS,15.5,50.0
Projects in ExpressJS - Learn ExpressJs building 10 projects,15.5,50.0
Projects in HTML5,15.5,60.0
Vue JS 2: From Beginner to Professional,15.5,145.0
"LEARN HARMONICA, amaze your friends and have fun - it's easy",15.5,200.0
Angular 4: From Theory to Practice & FREE E-Book,15.5,200.0
The Complete HTML5 and CSS3 Course,15.0,40.0
Learn MeteorJS By Building 10 Real World Projects,15.0,50.0
Digital Art for Beginners,15.0,150.0
Git a Web Developer Job: Mastering the Modern Workflow,15.0,200.0
Curso Blender 3D  do Básico ao Avançado ,14.5,20.0
Chartered Financial Analyst (CFA) - Level 1 - FRA,14.5,30.0
Projects in AngularJS - Learn by building 10 Projects,14.5,40.0
Accounting 101: Guide to Business Accounting,14.5,50.0
The Complete Elixir and Phoenix Bootcamp,14.5,50.0
Building An E-Commerce Store Using Java Spring Framework,14.5,95.0
PHP for Beginners: How to Build an E-Commerce Store,14.5,100.0
Easy Forex and Futures Trading,14.5,100.0
Professional Python Web Development Using Flask,14.5,120.0
CFA Corporate Finance Level 1 (Part 1),14.5,180.0
The Complete PHP Bootcamp Course With Video Sharing Project,14.5,195.0
"Ruby on Rails 5 - BDD, RSpec and Capybara",14.5,200.0
HTML and CSS: A Guide to Web Design,14.0,25.0
A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,14.0,35.0
Advance Learning Tools Corel Draw Graphics Design,14.0,40.0
Building a Social Network in PHP & MySQL From Scratch,14.0,50.0
The Complete Guide to JavaScript Development,14.0,110.0
Advanced Scalable Python Web Development Using Flask,14.0,120.0
Aprende a invertir y deja que tu dinero trabaje para ti,14.0,145.0
Learn to play the piano or keyboard from scratch,14.0,145.0
Tape Reading: Learn how to read the tape for day trading,14.0,195.0
The Complete DevOps Engineer Course 2.0 - Java & Kubernetes,14.0,195.0
"Laravel, the complete guide with real world projects",14.0,200.0
Diseño Gráfico fácil y rápido.,13.5,20.0
"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",13.5,20.0
"Modern JavaScript: Building Real-World, Real-Time Apps",13.5,50.0
Accounting for CA CPT Exams Part I,13.5,50.0
Learn  Bootstrap Development By Building 10 Projects,13.5,60.0
Spring Framework 4 (Java Enterprise JEE) with AngularJS,13.5,95.0
Introduction to web programming for GIS applications,13.5,100.0
The Complete Developers Guide to MongoDB,13.5,150.0
Become A Full Stack Web Developer in 14 Days,13.5,195.0
The Smart Option Trader,13.0,45.0
QuickBooks Online: Complete Guide & Certification tips,13.0,50.0
Learn By Example: PHP For Dynamic Websites,13.0,50.0
Mastering ASP.NET MVC 5 From Scratch Using C#,13.0,50.0
"Learn By Example: The Foundations of HTML, CSS & Javascript",13.0,50.0
Learn Ruby on Rails By Building Projects,13.0,60.0
Photoshopマスターコース　基礎から上級まで　ステップバイステップでPhotoshopのすべてを学ぼう,13.0,70.0
Curso Online de Adobe Illustrator CC e CS6,13.0,80.0
GraphQL with React: The Complete Developers Guide,13.0,150.0
The CSS and CSS3 Crash Course,13.0,150.0
BDD with Ruby on Rails using RSpec 3 and Capybara,13.0,175.0
Finance for Non Finance Executives,13.0,180.0
Learn and Understand NodeJS,13.0,195.0
The Ultimate Vue JS 2 Developers Course,13.0,195.0
"Build Modern Responsive Website With HTML5, CSS3 & Bootstrap",13.0,195.0
ASP NET CORE - ANGULAR 2 E-Commerce App,13.0,200.0
Complete Website & CMS in PHP & MySQL From Scratch!,12.5,20.0
Mastering Photoshop: From Beginner to Industry Professional,12.5,25.0
Professional Risk Manager (PRM) Certification: Level 3,12.5,50.0
Finance and Accounting for Startups,12.5,50.0
Learning Dynamic Website Design - PHP MySQL and JavaScript,12.5,50.0
Photoshop from Zero to Hero ( Arabic ),12.5,60.0
Como Produzir Ebook e Livros com Adobe Indesign CC e CS6,12.5,80.0
The Complete WordPress Development & Customization Course,12.5,100.0
Display and analyze GIS data on the web with Leaflet.js,12.5,100.0
REST APIs with Flask and Python,12.5,110.0
JavaScript from Beginner to Expert,12.5,125.0
Acoustic Blues Guitar Lessons,12.5,125.0
Photoshop Workflow - Manipulação de imagem para Publicidade,12.5,135.0
jQuery UI Ultimate:Design Amazing Interfaces Using jQuery UI,12.5,145.0
RESTful API with Laravel 5.4: Definitive Guide,12.5,145.0
React From The Ground Up,12.5,150.0
Trading: High-ROI Trading,12.5,190.0
The Complete E-Commerce Web Developer Course 5.0,12.5,195.0
Learn to Trade Forex - from Beginner to Professional,12.5,195.0
The Complete NodeJS Course: Build a Full Business Rating App,12.5,195.0
Learn Blender 3D - The materials and texture course,12.5,200.0
Corel Draw x7,12.0,20.0
Introduction to Bookkeeping (Accounting),12.0,20.0
"Photoshop, Illustrator, InDesign & Graphic Design Principles",12.0,30.0
CFP - Introduction to Financial Planning,12.0,30.0
Conviértete en un experto de photoshop cc naked series,12.0,30.0
Learn Complete Web Development From Scratch,12.0,40.0
Learn Angular 2 Development By Building 12 Apps,12.0,50.0
Projects in MongoDB - Learn MongoDB Building Projects,12.0,50.0
The Ultimate Web Development Course,12.0,50.0
Illustrator CC MasterClass,12.0,95.0
Become a Certified Web Developer,12.0,100.0
Corel Draw X7 Eğitimi (Temelden İleri Seviyeye),12.0,105.0
Modern Web Development with Laravel 5.2 (PHP Framework),12.0,120.0
Advanced React and Redux,12.0,140.0
Photoshop para novatos:  ¡desde cero hasta experto!,12.0,150.0
Build Responsive Real World Websites with HTML5 and CSS3,12.0,195.0
Complete React JS web developer with ES6 - Build 10 projects,12.0,200.0
Introduction to Accounting: The Language of Business,11.5,20.0
Gospel Piano Essentials,11.5,30.0
Angular 2 From The Ground Up,11.5,30.0
Advance JavaScript for Coders: Learn OOP in JavaScript,11.5,40.0
Complete Claritas Investment Certificate,11.5,50.0
The complete JavaScript developer: MEAN stack zero-to-hero,11.5,75.0
HTML & CSS From Scratch in 30 Days,11.5,75.0
Discover Classical Guitar Level 2   ,11.5,75.0
Photoshop CC MasterClass,11.5,95.0
Build Incredible Chatbots,11.5,100.0
JavaScript: Understanding the Weird Parts,11.5,175.0
Javascript - From Beginner to Pro-Build real world JS apps,11.5,195.0
Financial Modeling for Startups & Small Businesses,11.5,195.0
Ultimate Photoshop Training: From Beginner to Pro,11.5,200.0
Ultimate Beginner Guitar Masterclass,11.5,200.0
Introductory JavaScript Made Easy Training Tutorial,11.0,20.0
Formação em Design Gráfico com Corel Draw Versões X8 / 2017.,11.0,45.0
Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,11.0,50.0
Learn Plugin Development in WordPress By Building  Projects,11.0,60.0
ReactJS and Flux: Learn By Building 10 Projects,11.0,60.0
Managerial Accounting - The Ultimate Beginner Course!,11.0,100.0
jQuery in Action: Build 8 jQuery Projects,11.0,100.0
React and Flux Web Development for Beginners,11.0,100.0
The Ultimate WordPress Boot Camp: Build 7 Websites,11.0,125.0
Illustrator CC para novatos: ¡desde cero hasta experto! ,11.0,150.0
The Ultimate Drawing Course - Beginner to Advanced,11.0,150.0
Illustrator CC: Design and drawing from scratch to expert!,11.0,150.0
Options Trading Basics (3-Course Bundle),11.0,180.0
The Complete Ethical Hacking Course 2.0: Python & Kali Linux,11.0,195.0
Learn How To Become a Web Developer From Scratch,11.0,200.0
Become a Rockstar Web Developer - Learn By Coding,11.0,200.0
How to Build a Massive Stock Portfolio from Zero!,11.0,200.0
Popular JavaScript Framework:Learn The Language Of Angular 2,11.0,200.0
Learn HTML5 Programming From Scratch,10.5,0.0
The Day Trader: Learn to Trade The Stock Market and Forex,10.5,20.0
Análise de Concessão de Crédito,10.5,20.0
Mastering Photoshop Elements 13 Made Easy Training Tutorial,10.5,20.0
Ultimate Blues Guitar Beginner Lessons,10.5,20.0
"Master JavaScript Programming, 3 Projects Included !!",10.5,20.0
jQuery UI In Depth,10.5,25.0
The Intelligent Investor,10.5,30.0
Siemens NX Unigraphics (UG) Basic to Advance 3D Modelling,10.5,50.0
Learning Photoshop CC 2015,10.5,50.0
Learn WCF And Web APIs From Scratch,10.5,50.0
Projects in Laravel: Learn Laravel Building 10 Projects,10.5,50.0
The Ultimate Guide to the Best WordPress Plugins Part 1,10.5,50.0
Super-Curso de Guitarra Práctico Para Principiantes,10.5,85.0
Curso de Iniciación al Trading,10.5,85.0
Beginners Guide to Playing Guitar - Step-by-step System,10.5,85.0
The Advanced Web Developer Course,10.5,100.0
JavaScript for beginners - A Complete Guide,10.5,100.0
PHP MVC Framework CodeIgniter Tutorial for Beginners Project,10.5,100.0
Learn to Read & Write Music to play Piano & more instruments,10.5,115.0
Build a Real-world App with ASP.NET Core and Angular 2 (4+),10.5,190.0
Curso de Trading práctico basado en casos reales,10.0,20.0
Servlets and JSPs Tutorial: Learn Web Applications With Java,10.0,35.0
The Build a SAAS App with Flask Course,10.0,40.0
Discover the 7 Secrets to Figure Drawing: Draw Awesome ...,10.0,40.0
HTML/CSS Bootcamp,10.0,40.0
Beginner Guitar Lessons: Learn To Play Guitar Today (WAVE 1),10.0,45.0
Comprehensive Forex Mastery Program,10.0,45.0
Projects in Foundation Framework - Learn By Building 10 Apps,10.0,50.0
Stock Fundamental Analysis with Excel,10.0,50.0
CFA® Level 1 2014 – Financial Reporting and Analysis,10.0,50.0
Projects in CSS,10.0,60.0
"Become a Full Stack Developer with Spring, AWS and Stripe",10.0,75.0
AngularJS JumpStart with Dan Wahlin,10.0,75.0
Introductory Financial Accounting,10.0,80.0
photoshop - CURSO DE PHOTOSHOP DO BÁSICO AO AVANÇADO,10.0,100.0
Financial Accounting: The Complete Introductory Crash Course,10.0,100.0
The Financial Analyst Skills Training (FAST) course 2017,10.0,100.0
Financial Accounting - The Ultimate Beginner Course,10.0,100.0
Mobile App Design: From Beginner to Intermediate,10.0,140.0
Learn Angular 2 from Beginner to Advanced,10.0,195.0
The Complete Financial Analyst Course 2017,10.0,195.0
Options Trading Stocks: Proven Toolbox For Financial Success,10.0,195.0
Learn Bootstrap 4 The Most Popular HTML5 CSS3 & JS Framework,10.0,200.0
"Learn to code, Become a Web Developer and Master JavaScript!",10.0,200.0
Play Guitar and Understand Music Quick & Easy in 28 Days!,9.5,20.0
Adobe Illustrator CC,9.5,20.0
สร้างงานกราฟฟิคแอพพลิเคชั่นมือถือด้วย Adobe Illustrator,9.5,20.0
Angular 2 Master Class with Alejandro Rangel,9.5,30.0
Learning Drupal 8,9.5,50.0
Learn React : The World's Most Lucrative JavaScript Library,9.5,50.0
Learning JavaScript Programming Tutorial. A Definitive Guide,9.5,50.0
The Complete Motion Graphic Course,9.5,65.0
Learn How To Successfully Trade Stocks: In 5 Simple Steps,9.5,95.0
Learn Laravel PHP Framework Building Multi User SEO Blog APP,9.5,100.0
Angular 2 with TypeScript for Beginners: The Pragmatic Guide,9.5,150.0
HTML5 And CSS3 - Build Modern Responsive Websites,9.5,175.0
17 Complete JavaScript   projects explained step by step,9.5,185.0
Build Enterprise Applications with Angular 2 (and Angular 4),9.5,190.0
The Professional Guitar Masterclass,9.5,200.0
Complete Trading Plan Course for Stocks & Forex (10 Hours),9.5,200.0
Adobe Suite : Unleash your creativity & benefit from it !,9.5,200.0
Forex & Financial Market Trading Tutorial- Online Strategies,9.0,0.0
Complete RESPONSIVE Website Design with HTML5 & CSS3,9.0,20.0
48 Logo Designs and Techniques,9.0,20.0
Accounting Is Easy (for Beginners),9.0,20.0
Bootstrap Essential Training - Create Your Very Own Website,9.0,20.0
How to Make a Website Without Coding- WordPress & Web Skills,9.0,30.0
Curso Completo de SolidWorks 2016.,9.0,30.0
Build a complete Fiverr clone with Node + Algolia + Paypal,9.0,30.0
Basic HTML CSS and Web Design,9.0,30.0
ASP.NET MVC 5 Project - CMS and Shopping Cart with Paypal,9.0,30.0
Investment Portfolio Analysis with Excel,9.0,50.0
Master the Trombone: Intermediate Instruction Made Simple!,9.0,50.0
Projects In JavaScript & JQuery,9.0,60.0
"Comprehensive Guide to Financial Markets, Investing &Trading",9.0,60.0
The Complete Financial Model Builder Course-Build 7 Models,9.0,75.0
Learn Complete WordPress for Building a Professional Sites,9.0,80.0
Ultimate WordPress Plugin Course,9.0,100.0
Web Design for Beginners: Real World Coding in HTML & CSS,9.0,100.0
HTML and CSS for Beginning Web Developers,9.0,100.0
JavaScript the Basics - JavaScript for Beginners,9.0,120.0
Angular 4 (2+) Crash Course for Beginners,9.0,120.0
Django by Example,9.0,125.0
Meteor and React for Realtime Apps,9.0,140.0
"Learn guitar the Right way! Complete 'KickStarter course""",9.0,150.0
How to Draw and Sketch for Beginners,9.0,150.0
Angular 2 + Rails 5 Bootcamp,9.0,150.0
Complete ASP NET MVC Web Development - Newbie to Ninja!,9.0,195.0
The Ultimate Beginner's Guide to Django,9.0,200.0
How to Invest in Startups - Expert Reveals Winning Secrets.,8.5,0.0
Javascript Essentials,8.5,0.0
Build an Amazon clone: Nodejs + MongoDB + Stripe Payment,8.5,20.0
15 Mandamientos para ganar dinero en Bolsa,8.5,20.0
Gana en la Bolsa con Análisis Técnico,8.5,25.0
Learn To Play The Drums,8.5,25.0
Accounting Simplified,8.5,30.0
A Beginners Guide to Technical Analysis of Stock Charts,8.5,40.0
Angular 4 Front To Back,8.5,40.0
SharePoint 2013 Development using C# - Part I,8.5,50.0
Master the Tuba - Intermediate Instruction Made Simple!,8.5,50.0
Accounting 102: Guide to Business Accounting,8.5,50.0
8 Stunden professionelles Cinema 4D Training,8.5,50.0
Web Development With Google Maps,8.5,50.0
Become a Heroku Rails Ninja: Expert Level Deployment Tools,8.5,50.0
Learn JavaScript for Web Development,8.5,75.0
Learn How To Successfully Trade Forex: In 5 Simple Steps,8.5,95.0
Photoshop: Organización de eventos y decoración de fiestas,8.5,120.0
A Complete Guide to Successful Freelance Logo Design Career,8.5,145.0
Build Wordpress CMS Clone with Laravel 5,8.5,150.0
Angular NgRx Store Masterclass - Covers Angular 4,8.5,150.0
Angular (Angular 2 or 4) & NodeJS - The MEAN Stack Guide,8.5,150.0
React JS - Build real world JS apps & deploy on cloud,8.5,175.0
Photoshop - Automatização com Adobe Script,8.5,195.0
Contabilità Generale,8.5,200.0
HTML5 and CSS3: Learn Web Design with HTML + CSS + Bootstrap,8.5,200.0
Quicklessons Piano Course - Learn to Play Piano by Ear!,8.5,200.0
Hedge and Mutual Fund Careers: The Complete Guide,8.5,200.0
Complete HTML5 and CSS3 Course +1 Start to Finish Project,8.5,200.0
Bitcoin or How I Learned to Stop Worrying and Love Crypto,8.0,0.0
Wordpress Theme Development for Beginners,8.0,20.0
Professional WordPress Theme Development For 2017,8.0,20.0
Easy Steps To Become A Photoshop Expert,8.0,20.0
Piano Lessons for the R&B Fan,8.0,20.0
Aprenda  a Investir,8.0,20.0
Adobe Illustrator CC for beginners,8.0,20.0
Learn to Raise the Funds You Need via Crowdfunding,8.0,20.0
Trade for a Living,8.0,20.0
Drawing Anime & Manga Style,8.0,25.0
"Build Your Startup with No Coding (Design, Develop & Ship)",8.0,30.0
Adobe Illustrator CS6 باللغة العربية,8.0,35.0
Responsive Web Design with HTML5 and CSS3 - Introduction,8.0,35.0
Corel Painter 2016,8.0,40.0
Stock Technical Analysis with Python,8.0,50.0
Learn to Play French Horn: Beginner to Pro Made the Easy Way,8.0,50.0
Learning CSS3 - A Comprehensive Tutorial For Web Developers,8.0,50.0
Advanced Trombone Studies - Learn to Master the Trombone!,8.0,50.0
Web Security: Common Vulnerabilities And Their Mitigation,8.0,50.0
"Master the Euphonium with Simple, Intermediate Instruction!",8.0,50.0
Financial Reporting A Comprehensive Study,8.0,50.0
Corporate Finance 101: Financial Statement Analysis & Ratios,8.0,50.0
Projects In ReactJS - The Complete React Learning Course,8.0,50.0
Electron for Desktop Apps: The Complete Developer's Guide,8.0,50.0
Professional Risk Manager (PRM) Certification: Level 4,8.0,50.0
Master Adobe Photoshop Lightroom CC - From Beginner to Advan,8.0,50.0
Horn Pro Series - You're going to love playing French Horn,8.0,50.0
Introduction to the economics of public services regulation,8.0,80.0
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",8.0,95.0
Build Websites from Scratch with HTML & CSS,8.0,145.0
AWS Serverless APIs & Apps - A Complete Introduction,8.0,145.0
Build A Web App With Spring Framework and Angular 2,8.0,145.0
Become a Professional Logo Designer,8.0,150.0
"React JS, Angular & Vue JS - Quickstart & Comparison",8.0,160.0
Master Manga Studio 5: Bonus Drawing and Painting,8.0,165.0
Lerning PHP by building website,8.0,185.0
Master Angular 4 by Example - Build 7 Awesome Apps!,8.0,195.0
Javascript Specialist,8.0,200.0
Become a Certified Web Developer - Beginner to Expert,8.0,200.0
Social Network Web Development,8.0,200.0
Graphic Design Bootcamp,8.0,200.0
Professional Logo Design in Adobe Illustrator,7.5,0.0
WordPress Theme Academy with Bootstrap,7.5,20.0
NPV and IRR Techniques for CA / CFA / CPA Exams,7.5,20.0
Autodesk Inventor 2016 : Complete Guide ,7.5,20.0
Bootstrap 4 Responsive Web Design and Development,7.5,20.0
Profit and Loss Account for bankers and credit analysts,7.5,20.0
Stock Market Mastery,7.5,20.0
Understanding The Stock Market: For Beginners,7.5,25.0
The Docker for DevOps course: From development to production,7.5,25.0
The Complete HTML5 and CSS3 Course - with 8 Websites Design,7.5,30.0
Web Building Starter Pack. Html Css and JQuery Animations,7.5,30.0
Build Flat Responsive Website from Scratch - Complete Course,7.5,35.0
Adobe Photoshop CC - Fundamentos,7.5,40.0
ABC do Photoshop CC,7.5,45.0
Learn to Play the Trumpet: Beginner to Pro Made the Easy Way,7.5,50.0
Commercial Credit Analysis,7.5,50.0
Learn the Foundations of Stocks and Options,7.5,50.0
Advanced HTML5 Tutorial for Web Developers,7.5,50.0
Professional Risk Manager (PRM) Certification: Level 2,7.5,50.0
Quantitative Trading Analysis with R,7.5,50.0
Practical Font Design,7.5,50.0
Web Development: Make A Website That Will Sell For Thousands,7.5,50.0
Master the French Horn: Intermediate Instruction Made Simple,7.5,50.0
Master the Bassoon - Intermediate Instruction Made Simple!,7.5,50.0
Learn to Play Trombone: Go From Beginner to Pro in No Time!,7.5,50.0
Euphonium Pro Series - Fall in love with the Euphonium,7.5,50.0
Learn by Example : ReactJS,7.5,50.0
Code a Responsive Website Using HTML5 and CSS for Beginners,7.5,50.0
Blues and Advanced Guitar Lessons,7.5,85.0
Adobe Illustrator Advanced Vector Artwork,7.5,90.0
Advanced WordPress Topics: Post Types Taxonomies & Metaboxes,7.5,95.0
Winning Options Trading System,7.5,105.0
Accelerated JavaScript Training,7.5,110.0
Photoshop para principiantes: ¡De cero a experto!,7.5,120.0
Drawing Perspective For Beginners,7.5,150.0
WordPress Academy: Learn WordPress step by step,7.5,150.0
Typescript Masterclass & FREE E-Book,7.5,150.0
RxJs & Reactive Programming Angular Masterclass - Angular 4,7.5,150.0
The Complete ASP.NET MVC 5 Course,7.5,190.0
"Play Leyenda, Canarios, and Bach on Classical Guitar",7.5,195.0
Bootstrap Tutorial - Essentials From Basic to Advanced,7.5,195.0
The Complete HTML & CSS Course - From Novice To Professional,7.5,195.0
Beginner to Pro in Excel: Financial Modeling and Valuation,7.5,195.0
The Complete Video Production Guide - Learn Top Video Tools,7.5,195.0
Build Real World Websites from Scratch using HTML5 and CSS3,7.5,195.0
Logo Design in Adobe Illustrator - for Beginners & Beyond,7.5,200.0
Mastering Logo Design - 20 Projects step-by-step,7.5,200.0
PHP: Complete Login and Registration System with PHP & MYSQL,7.5,200.0
"Working Capital assessment for bankers, credit analysts",7.0,20.0
Intro to Illustrator,7.0,20.0
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",7.0,20.0
The Web Developers Guide: Learn HTML & CSS Fundamentals,7.0,20.0
X theme for WordPress: Responsive web design without code!,7.0,20.0
