course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,subject,level,content_duration,subject
24877,Introductory Financial Accounting,https://www.udemy.com/introductory-financial-accounting/,True,80,1793,265,54,Business Finance,Beginner Level,10.0,Business Finance
332690,Introduction to Trade Theory (Technical Analysis) For Stocks,https://www.udemy.com/intro-price-theory-klatch-tminr/,True,20,45,4,6,Business Finance,Beginner Level,1.0,Business Finance
521342,Succeed in Forex Even if You Don't Know Where to Start!,https://www.udemy.com/forex-trading-for-beginners-live-fx-examples/,True,200,1806,38,211,Business Finance,Beginner Level,19.5,Business Finance
486240,2 Easy Steps To Investment And Avoiding Traps,https://www.udemy.com/easy-steps-to-investment/,True,20,828,1,20,Business Finance,All Levels,1.0,Business Finance
229360,Level 1 2014 CFA® Program – Corporate Finance,https://www.udemy.com/level-1-2014-cfa-program-corporate-finance/,True,40,204,1,18,Business Finance,All Levels,3.0,Business Finance
20185,The Complete Forex Trader,https://www.udemy.com/forextrader/,True,25,1634,142,46,Business Finance,All Levels,7.0,Business Finance
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95,2451,11,36,Business Finance,All Levels,3.0,Business Finance
1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,True,200,809,3,25,Business Finance,All Levels,2.0,Business Finance
968056,What You Should Know to Become a Trader,https://www.udemy.com/what-you-should-know-to-become-a-trader/,True,125,17,2,14,Business Finance,All Levels,1.5,Business Finance
964828,Forex Trading - Learn An Effective Forex Trading Strategy,https://www.udemy.com/forex-trading-strategy-technical-analysis/,True,95,223,34,16,Business Finance,All Levels,1.5,Business Finance
1013190,Analysis and Evaluation of Economic Feasibility of Projects,https://www.udemy.com/feasibility-study/,True,100,10,1,8,Business Finance,Intermediate Level,1.0,Business Finance
1219820,Accounting - The 6 most important rules you must learn,https://www.udemy.com/accounting-the-6-most-important-rules-you-must-learn/,True,20,0,0,9,Business Finance,All Levels,1.0,Business Finance
